Price,Close,High,Low,Open,Volume,Adj Close,Daily_Return,Log_Return,Rolling_Volatility,Rolling_Mean
Ticker,BND,BND,BND,BND,BND,,,,,
Date,,,,,,,,,,
2015-07-01,60.816734313964844,60.91446000337829,60.76411190652494,60.79418267297806,5399300,60.816734313964844,,,,
2015-07-02,60.96706008911133,61.027201599998115,60.93698933366793,60.93698933366793,1060100,60.96706008911133,0.002471783084741608,0.002468733253579482,,
2015-07-06,61.17757034301758,61.2226793591517,61.05729301595481,61.2226793591517,2210700,61.17757034301758,0.0034528523041550407,0.0034469048960537397,,
2015-07-07,61.23769760131836,61.47073881128235,61.23769760131836,61.41060302947312,4183200,61.23769760131836,0.0009828317464006808,0.0009823490835048705,,
2015-07-08,61.41059875488281,61.463221144934735,61.31286736235041,61.37300887538414,1967800,61.41059875488281,0.002823443080602228,0.0028194646520060063,,
2015-07-09,61.2076416015625,61.327924665006044,61.177570835701616,61.31288641436953,1670900,61.2076416015625,-0.0033049206071155135,-0.0033103939197948605,,
2015-07-10,60.922000885009766,61.01221321658531,60.85434020247453,60.90696262870669,2038300,60.922000885009766,-0.004666749266572623,-0.004677672538293953,,
2015-07-13,60.77913284301758,60.899415885914955,60.77161371898371,60.786651967051455,2846500,60.77913284301758,-0.0023450976645014165,-0.0023478517125463567,,
2015-07-14,60.891883850097656,60.94450623635419,60.86181309574965,60.89188385009766,1567700,60.891883850097656,0.0018550940397799032,0.0018533754778993813,,
2015-07-15,61.06481170654297,61.08736334674345,60.87687372432285,60.89942536452333,2631000,61.06481170654297,0.0028399163486387824,0.0028358914047404357,,
2015-07-16,61.06481170654297,61.10239586173976,60.929496129928,60.944528644924304,1063100,61.06481170654297,0.0,0.0,,
2015-07-17,61.072322845458984,61.13246437405175,61.04225208116261,61.07984197038604,807900,61.072322845458984,0.00012300273604570755,0.00012299517182944337,,
2015-07-20,60.9896240234375,61.05728467068482,60.95203987311016,61.034733033406155,1026900,60.9896240234375,-0.0013541129298577648,-0.0013550305692562974,,
2015-07-21,61.10242462158203,61.140014529883786,60.967108981276354,60.98214723876296,1422900,61.10242462158203,0.001849504730528917,0.0018477965025809327,,
2015-07-22,61.12495040893555,61.21516270943989,61.1174370187861,61.132469534497325,1624100,61.12495040893555,0.00036865619479131695,0.00036858825779275534,,
2015-07-23,61.26777648925781,61.297847251857746,61.10990928716677,61.15501256336092,1178400,61.26777648925781,0.002336624886674521,0.0023338992238193866,,
2015-07-24,61.30535125732422,61.35045452239507,61.26776137949178,61.33541627709805,804300,61.30535125732422,0.0006132876076054838,0.0006130996236155702,,
2015-07-27,61.4256591796875,61.4331783060863,61.350485121938455,61.41062666230288,2022800,61.4256591796875,0.0019624375343401113,0.0019605144693209844,,
2015-07-28,61.32041549682617,61.38055703831366,61.31289637028697,61.35048626756992,1434700,61.32041549682617,-0.00171335048360588,-0.0017148199472564237,,
2015-07-29,61.26777648925781,61.32791801445769,61.22267321306366,61.320398889954824,1020500,61.26777648925781,-0.0008584254875292352,-0.0008587941456801897,,
2015-07-30,61.290306091308594,61.3278959648965,61.22265120134171,61.25272195313015,788000,61.290306091308594,0.00036772351375824464,0.0003676559200369854,,
2015-07-31,61.50082015991211,61.51585840951197,61.433165242947986,61.47826852092407,1589100,61.50082015991211,0.0034347041486446628,0.003428819024274306,,
2015-08-03,61.64320755004883,61.658271184306,61.50007716182273,61.54527381187935,2085800,61.64320755004883,0.002315211240540904,0.0023125352684945553,,
2015-08-04,61.43226623535156,61.605523847104266,61.417196857722175,61.59046021675849,1007300,61.43226623535156,-0.0034219717480794554,-0.0034278400847479336,,
2015-08-05,61.33435821533203,61.37202592790075,61.25149384550967,61.35695654395886,2097000,61.33435821533203,-0.0015937556274489006,-0.0015950270069739908,,
2015-08-06,61.37201690673828,61.43228293907523,61.33434919970639,61.34941858143321,1173000,61.37201690673828,0.0006139901435675554,0.0006138017287386435,,
2015-08-07,61.500091552734375,61.55282290590118,61.43229656178554,61.469958529883854,1773800,61.500091552734375,0.0020868573732995,0.0020846829111206954,,
2015-08-10,61.37201690673828,61.47747958968535,61.33434919970639,61.45488126438029,1173300,61.37201690673828,-0.002082511468885717,-0.0020846829111207375,,
2015-08-11,61.60554122924805,61.688405587739226,61.55280988723414,61.57540821277078,1424200,61.60554122924805,0.003805061887808492,0.0037978409514335147,,
2015-08-12,61.58292007446289,61.79384536432695,61.56785644545108,61.7109810365542,1029700,61.58292007446289,-0.0003671935078206623,-0.00036726093986433274,,61.23499298095703
2015-08-13,61.454864501953125,61.58292547527536,61.43226618281198,61.52265945937656,845500,61.454864501953125,-0.0020794007876685505,-0.0020815657432139098,0.0022841611077453732,61.256263987223306
2015-08-14,61.43226623535156,61.52265951199346,61.402133227376396,61.43226623535156,2279800,61.43226623535156,-0.0003677213640401744,-0.0003677889901198378,0.002251832210570545,61.27177085876465
2015-08-17,61.54527282714844,61.605538857783074,61.515145559116135,61.575405842465756,821900,61.54527282714844,0.0018395315478667573,0.0018378416817662559,0.0021913011153374662,61.284027608235675
2015-08-18,61.43226623535156,61.515130570462375,61.40966216890748,61.469928184857814,1083900,61.43226623535156,-0.0018361538848686854,-0.001837841681766138,0.002216958166457607,61.29051322937012
2015-08-19,61.650779724121094,61.67338381228489,61.33439145729766,61.372059190281504,1356600,61.650779724121094,0.0035569823833681014,0.0035506712827517973,0.002251711488027516,61.29851926167806
2015-08-20,61.70348358154297,61.74868023892433,61.650746484883335,61.67335056086005,1536900,61.70348358154297,0.0008548773861047909,0.0008545121865512267,0.0021588989005196626,61.31504732767741
2015-08-21,61.8013801574707,61.83904210370578,61.67331919516183,61.7486488349151,3459200,61.8013801574707,0.001586564813611524,0.0015853075493028326,0.001958249054949738,61.344359970092775
2015-08-24,61.786346435546875,62.09520560823344,61.71855144483212,61.997277594772214,4751800,61.786346435546875,-0.00024325867619012786,-0.00024328826838103417,0.0018901146169321716,61.377933756510416
2015-08-25,61.58292007446289,61.7109810365542,61.46992274138341,61.7109810365542,5325500,61.58292007446289,-0.0032924160889847842,-0.003297848016891161,0.0019980890942497484,61.40096829732259
2015-08-26,61.319278717041016,61.57540070494123,61.28161101421591,61.424741388209874,2742500,61.319278717041016,-0.00428107918726639,-0.004290269245059071,0.002115104587660484,61.40945053100586
2015-08-27,61.402164459228516,61.4850288364878,61.28163236601989,61.29670175131424,2671000,61.402164459228516,0.0013517077160998259,0.0013507949816325105,0.0021263693694841966,61.42069562276205
2015-08-28,61.43226623535156,61.5753908391291,61.402133227376396,61.53772888962285,2723900,61.43226623535156,0.0004902396582946444,0.0004901195300928309,0.0021270520728071916,61.43269373575846
2015-08-31,61.349430084228516,61.54528610511813,61.34189539195237,61.530222467852106,3103700,61.349430084228516,-0.0013484143789469494,-0.0013493243076815981,0.002126908926785645,61.44468727111816
2015-09-01,61.49887466430664,61.5517150030084,61.40073849302839,61.43848406031464,2577700,61.49887466430664,0.002435957104621078,0.0024329949705590784,0.002145224856947246,61.45790227254232
2015-09-02,61.45361328125,61.521548423083594,61.39322264906391,61.43851274361964,1934700,61.45361328125,-0.0007359709149753479,-0.0007362418745229137,0.0021520159359235225,61.46885770161946
2015-09-03,61.49887466430664,61.57436003971415,61.446034325604884,61.53661447242791,2503000,61.49887466430664,0.0007365129670975357,0.0007362418745228155,0.0021162796751129113,61.47656097412109
2015-09-04,61.6497917175293,61.67243673451102,61.50637135692511,61.604501683565864,1213800,61.6497917175293,0.0024539807280448134,0.0024509746342644134,0.0021571334619188967,61.4880423227946
2015-09-08,61.49887466430664,61.53661447242791,61.45358459089513,61.53661447242791,1194600,61.49887466430664,-0.00244797344837977,-0.0024509746342644594,0.0021822472325144695,61.490482838948566
2015-09-09,61.48379135131836,61.57437728267357,61.295074980369975,61.31017551517914,4265400,61.48379135131836,-0.0002452616095922622,-0.0002452916911394984,0.0021578507642750315,61.49592870076497
2015-09-10,61.35546112060547,61.468692086738784,61.35546112060546,61.468692086738784,1889000,61.35546112060547,-0.0020872205160480384,-0.0020894017965267728,0.002187945428915218,61.4988515218099
2015-09-11,61.48379135131836,61.54418197222183,61.46114630827121,61.5139866617701,1411500,61.48379135131836,0.0020915861175037076,0.002089401796526907,0.0022189945357197786,61.505301030476886
2015-09-14,61.49887466430664,61.56680977442391,61.47622962760089,61.55926526829864,905900,61.49887466430664,0.00024532177760638874,0.0002452916911395812,0.0021286508121284853,61.50523618062337
2015-09-15,61.24219512939453,61.446011903702704,61.189354809974425,61.438461641167585,1697300,61.24219512939453,-0.004173727345633593,-0.0041824616571731225,0.002213395500171836,61.491869099934895
2015-09-16,61.20452117919922,61.24981128480754,61.144130532275405,61.19697090854147,1579000,61.20452117919922,-0.000615163289227505,-0.0006153525797974322,0.002130956041302473,61.48427759806315
2015-09-17,61.55171585083008,61.55171585083008,61.15918267864025,61.17428320942874,1833200,61.55171585083008,0.005672696476365147,0.005656667324149138,0.0023586586308311304,61.491522852579756
2015-09-18,61.725345611572266,61.73289587867543,61.58946959954719,61.619664908793474,1639800,61.725345611572266,0.0028208760445116443,0.0028169048401130332,0.002408465662073788,61.503300476074216
2015-09-21,61.49887466430664,61.64984541512166,61.45358459089513,61.612105607000395,933800,61.49887466430664,-0.0036690105988351762,-0.003675757927291453,0.00248067103995459,61.50325991312663
2015-09-22,61.61211013793945,61.73288559564027,61.5819148337229,61.59700960624848,1444000,61.61211013793945,0.0018412609051938755,0.0018395678622373493,0.002470377357710408,61.51126302083333
2015-09-23,61.61211013793945,61.67249498720716,61.55926979535184,61.64230544215601,709000,61.61211013793945,0.0,0.0,0.0023710321341260656,61.51148198445638
2015-09-24,61.634803771972656,61.79332492472075,61.61970322837573,61.77822438112382,1454400,61.634803771972656,0.0003683307385902168,0.00036826292147596243,0.0023708399964031445,61.51321144104004
2015-09-25,61.52156066894531,61.61969114640482,61.52156066894531,61.59704609461946,1134000,61.52156066894531,-0.00183732398088432,-0.0018390139308973913,0.002363811784460525,61.515434646606444
2015-09-28,61.6800651550293,61.725355246384936,61.551739390076804,61.61967452711026,1305000,61.6800651550293,0.0025764054806234338,0.002573092237641243,0.002407069266633408,61.523694610595705
2015-09-29,61.725345611572266,61.808381272207946,61.672505260182874,61.68760579438919,1256600,61.725345611572266,0.0007341181697710919,0.0007338488368342388,0.0023884974778752574,61.529697036743165
2015-09-30,61.846126556396484,61.85367682346398,61.71025054501329,61.74044585411692,4432000,61.846126556396484,0.001956747971640027,0.001954836034041507,0.0023828470825933675,61.543492380778
2015-10-01,61.87940216064453,61.99286023449331,61.871842520914,61.93991390279286,2023700,61.87940216064453,0.0005380386145557026,0.0005378939236775195,0.002299643610186523,61.55111312866211
2015-10-02,62.113887786865234,62.2802864325952,62.02312016769803,62.151703300146615,1770400,62.113887786865234,0.0037893970858340342,0.0037822354072911146,0.0023922644220444917,61.564793268839516
2015-10-05,61.87186050415039,62.03825918734653,61.8718605041504,62.03825918734653,4199900,61.87186050415039,-0.003896508354867878,-0.0039041195212966757,0.002491933369201279,61.56714261372884
2015-10-06,61.955039978027344,62.01554594482365,61.871837781625885,61.94747456815896,1925300,61.955039978027344,0.0013443829424100162,0.0013434800687767772,0.0025025244181995565,61.57276573181152
2015-10-07,61.955039978027344,62.0004208958038,61.871837781625885,61.92478410927073,1871000,61.955039978027344,0.0,0.0,0.0024197211639089182,61.585169728597
2015-10-08,61.85672378540039,62.000437758401745,61.82646790841493,61.962616469490285,1118100,61.85672378540039,-0.0015868957983373733,-0.0015881562511227392,0.0022942784605102795,61.603084564208984
2015-10-09,61.849143981933594,61.902090311658576,61.78107260259453,61.78107260259453,1197400,61.849143981933594,-0.00012253806866802108,-0.00012254557707054055,0.0022866060075649114,61.61798388163249
2015-10-12,61.955039978027344,62.0004208958038,61.871837781625885,61.90208787966559,864100,61.955039978027344,0.001712165913317687,0.0017107018281931937,0.0023019687906947685,61.635409673055015
2015-10-13,61.99285125732422,62.02310712401704,61.91721447595042,61.97772620933606,971700,61.99285125732422,0.0006103019110355046,0.0006101157525622616,0.0022817296147666457,61.656857045491535
2015-10-14,62.219757080078125,62.219757080078125,62.05335272615166,62.083608587839706,786300,62.219757080078125,0.0036601933634581307,0.003653511156212517,0.002330737338464736,61.68088645935059
2015-10-15,62.098724365234375,62.18949193675166,62.06846850806195,62.13654562937858,2264300,62.098724365234375,-0.0019452456988537925,-0.0019471401464442651,0.0023611611414555843,61.70239016215007
2015-10-16,62.07603454589844,62.13654626085826,62.053344095467196,62.06846913884977,1241200,62.07603454589844,-0.0003653830182160922,-0.0003654497868556726,0.002363524207315904,61.72162882486979
2015-10-19,62.07603454589844,62.11385581042702,62.007963194604706,62.083599952947104,840100,62.07603454589844,0.0,0.0,0.0023291265145417846,61.73583691914876
